"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 07 11:20:32 IST 2021","Thu Oct 07 11:20:46 IST 2021","13286","","Register and product checkout: As a new user, I can able to register and login to website","","Register and product checkout: As a new user, I can able to register and login to website","Then I sign out from application","Then I sign out from application",""
"passed","Thu Oct 07 11:19:36 IST 2021","Thu Oct 07 11:19:51 IST 2021","14777","","Register and product checkout: As a new user, I can able to register and login to website","","Register and product checkout: As a new user, I can able to register and login to website","Then I enter personal information title ""MR"" firstname ""abc"" lastName ""xyz"" email ""testing777700@testtest.com"" password ""123456789""","Then I enter personal information title ""MR"" firstname ""abc"" lastName ""xyz"" email ""testing777700@testtest.com"" password ""123456789""",""
"passed","Thu Oct 07 10:55:09 IST 2021","Thu Oct 07 10:55:29 IST 2021","20717","","Register and product checkout: As a registered user, I can able to login to website and logout","","Register and product checkout: As a registered user, I can able to login to website and logout","When I Login with ""testing77779@testtest.com"" and ""123456789""","When I Login with ""testing77779@testtest.com"" and ""123456789""",""
"passed","Thu Oct 07 11:24:33 IST 2021","Thu Oct 07 11:24:33 IST 2021","1","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","","",""
"passed","Thu Oct 07 11:21:37 IST 2021","Thu Oct 07 11:21:40 IST 2021","2931","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","Given I am on the login page","Given I am on the login page",""
"passed","Thu Oct 07 11:21:37 IST 2021","Thu Oct 07 11:21:37 IST 2021","1","","Register and product checkout: As a registered user, I can able to login to website and logout","","Register and product checkout: As a registered user, I can able to login to website and logout","","",""
"passed","Thu Oct 07 11:20:46 IST 2021","Thu Oct 07 11:20:49 IST 2021","3120","","Register and product checkout: As a registered user, I can able to login to website and logout","","Register and product checkout: As a registered user, I can able to login to website and logout","Given I am on the login page","Given I am on the login page",""
"broken","Thu Oct 07 11:18:18 IST 2021","Thu Oct 07 11:18:18 IST 2021","201","","Register and product checkout: As a new user, I can able to register and login to website","","Register and product checkout: As a new user, I can able to register and login to website","Then I enter personal information title ""MR"" firstname ""abc"" lastName ""xyz"" email ""testing77779@testtest.com"" password ""123456789""","Then I enter personal information title ""MR"" firstname ""abc"" lastName ""xyz"" email ""testing77779@testtest.com"" password ""123456789""",""
"passed","Thu Oct 07 11:23:08 IST 2021","Thu Oct 07 11:23:54 IST 2021","45754","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","Then I checkout till payment","Then I checkout till payment",""
"passed","Thu Oct 07 11:20:10 IST 2021","Thu Oct 07 11:20:19 IST 2021","9230","","Register and product checkout: As a new user, I can able to register and login to website","","Register and product checkout: As a new user, I can able to register and login to website","When I select state ""8"" postalcode ""11104"" mobilenumber ""8888888888"" myaddress ""Allise""","When I select state ""8"" postalcode ""11104"" mobilenumber ""8888888888"" myaddress ""Allise""",""
"passed","Thu Oct 07 11:21:24 IST 2021","Thu Oct 07 11:21:37 IST 2021","13371","","Register and product checkout: As a registered user, I can able to login to website and logout","","Register and product checkout: As a registered user, I can able to login to website and logout","Then I sign out from application","Then I sign out from application",""
"passed","Thu Oct 07 11:20:32 IST 2021","Thu Oct 07 11:20:32 IST 2021","401","","Register and product checkout: As a new user, I can able to register and login to website","","Register and product checkout: As a new user, I can able to register and login to website","Then I validate correct ""abc"" lastname ""xyz"" is displayed","Then I validate correct ""abc"" lastname ""xyz"" is displayed",""
"passed","Thu Oct 07 10:56:04 IST 2021","Thu Oct 07 10:56:24 IST 2021","20550","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","When I Login with ""testing77779@testtest.com"" and ""123456789""","When I Login with ""testing77779@testtest.com"" and ""123456789""",""
"passed","Thu Oct 07 11:20:46 IST 2021","Thu Oct 07 11:20:46 IST 2021","1","","Register and product checkout: As a new user, I can able to register and login to website","","Register and product checkout: As a new user, I can able to register and login to website","","",""
"passed","Thu Oct 07 11:18:53 IST 2021","Thu Oct 07 11:19:01 IST 2021","8771","","Register and product checkout: As a new user, I can able to register and login to website","","Register and product checkout: As a new user, I can able to register and login to website","Given I am on the login page","Given I am on the login page",""
"passed","Thu Oct 07 11:19:51 IST 2021","Thu Oct 07 11:19:58 IST 2021","6737","","Register and product checkout: As a new user, I can able to register and login to website","","Register and product checkout: As a new user, I can able to register and login to website","When i enter personal information DOB ""7"" months ""5"" years ""1991""","When i enter personal information DOB ""7"" months ""5"" years ""1991""",""
"passed","Thu Oct 07 11:19:58 IST 2021","Thu Oct 07 11:20:10 IST 2021","11595","","Register and product checkout: As a new user, I can able to register and login to website","","Register and product checkout: As a new user, I can able to register and login to website","Then I enter address detail ""abc"" lastname ""xyz"" company ""IT"" address ""MIDC"" city ""pune""","Then I enter address detail ""abc"" lastname ""xyz"" company ""IT"" address ""MIDC"" city ""pune""",""
"passed","Thu Oct 07 11:17:43 IST 2021","Thu Oct 07 11:18:18 IST 2021","35378","","Register and product checkout: As a new user, I can able to register and login to website","","Register and product checkout: As a new user, I can able to register and login to website","When I register with testing77779@testtest.com","When I register with testing77779@testtest.com",""
"passed","Thu Oct 07 11:23:54 IST 2021","Thu Oct 07 11:24:21 IST 2021","27593","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","Then I validate product details ""Faded Short Sleeve T-shirts""","Then I validate product details ""Faded Short Sleeve T-shirts""",""
"passed","Thu Oct 07 11:22:19 IST 2021","Thu Oct 07 11:23:08 IST 2021","48680","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","Then I add product to cart","Then I add product to cart",""
"passed","Thu Oct 07 11:24:21 IST 2021","Thu Oct 07 11:24:33 IST 2021","12180","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","Then I sign out from application","Then I sign out from application",""
"passed","Thu Oct 07 11:21:56 IST 2021","Thu Oct 07 11:22:19 IST 2021","22435","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","","Register and product checkout: As a registered user, I can able to add products to cart and CheckOut","When I Login with ""testing777700@testtest.com"" and ""123456789""","When I Login with ""testing777700@testtest.com"" and ""123456789""",""
